sep_length	sep_width	pet_length	pet_width	type
5	3,5	1,299999952	0,300000012	Iris-setosa
4,5	2,299999952	1,299999952	0,300000012	Iris-setosa
4,400000095	3,200000048	1,299999952	0,200000003	Iris-setosa
5	3,5	1,600000024	0,600000024	Iris-setosa
5,099999905	3,799999952	1,899999976	0,400000006	Iris-setosa
4,800000191	3	1,399999976	0,300000012	Iris-setosa
5,099999905	3,799999952	1,600000024	0,200000003	Iris-setosa
4,599999905	3,200000048	1,399999976	0,200000003	Iris-setosa
5,300000191	3,700000048	1,5	0,200000003	Iris-setosa
5	3,299999952	1,399999976	0,200000003	Iris-setosa
7	3,200000048	4,699999809	1,399999976	Iris-versicolor
6,400000095	3,200000048	4,5	1,5	Iris-versicolor
6,900000095	3,099999905	4,900000095	1,5	Iris-versicolor
5,5	2,299999952	4	1,299999952	Iris-versicolor
6,5	2,799999952	4,599999905	1,5	Iris-versicolor
5,699999809	2,799999952	4,5	1,299999952	Iris-versicolor
6,300000191	3,299999952	4,699999809	1,600000024	Iris-versicolor
4,900000095	2,400000095	3,299999952	1	Iris-versicolor
6,599999905	2,900000095	4,599999905	1,299999952	Iris-versicolor
5,199999809	2,700000048	3,900000095	1,399999976	Iris-versicolor
5	2	3,5	1	Iris-versicolor
5,900000095	3	4,199999809	1,5	Iris-versicolor
6	2,200000048	4	1	Iris-versicolor
6,099999905	2,900000095	4,699999809	1,399999976	Iris-versicolor
5,599999905	2,900000095	3,599999905	1,299999952	Iris-versicolor
6,699999809	3,099999905	4,400000095	1,399999976	Iris-versicolor
5,599999905	3	4,5	1,5	Iris-versicolor
5,800000191	2,700000048	4,099999905	1	Iris-versicolor
6,199999809	2,200000048	4,5	1,5	Iris-versicolor
5,599999905	2,5	3,900000095	1,100000024	Iris-versicolor
5,900000095	3,200000048	4,800000191	1,799999952	Iris-versicolor
6,099999905	2,799999952	4	1,299999952	Iris-versicolor
6,300000191	2,5	4,900000095	1,5	Iris-versicolor
6,099999905	2,799999952	4,699999809	1,200000048	Iris-versicolor
6,400000095	2,900000095	4,300000191	1,299999952	Iris-versicolor
6,599999905	3	4,400000095	1,399999976	Iris-versicolor
6,800000191	2,799999952	4,800000191	1,399999976	Iris-versicolor
6,699999809	3	5	1,700000048	Iris-versicolor
6	2,900000095	4,5	1,5	Iris-versicolor
5,699999809	2,599999905	3,5	1	Iris-versicolor
5,5	2,400000095	3,799999952	1,100000024	Iris-versicolor
5,5	2,400000095	3,700000048	1	Iris-versicolor
5,800000191	2,700000048	3,900000095	1,200000048	Iris-versicolor
6	2,700000048	5,099999905	1,600000024	Iris-versicolor
5,400000095	3	4,5	1,5	Iris-versicolor
6	3,400000095	4,5	1,600000024	Iris-versicolor
6,699999809	3,099999905	4,699999809	1,5	Iris-versicolor
6,300000191	2,299999952	4,400000095	1,299999952	Iris-versicolor
5,599999905	3	4,099999905	1,299999952	Iris-versicolor
5,5	2,5	4	1,299999952	Iris-versicolor
5,5	2,599999905	4,400000095	1,200000048	Iris-versicolor
6,099999905	3	4,599999905	1,399999976	Iris-versicolor
5,800000191	2,599999905	4	1,200000048	Iris-versicolor
5	2,299999952	3,299999952	1	Iris-versicolor
5,599999905	2,700000048	4,199999809	1,299999952	Iris-versicolor
5,699999809	3	4,199999809	1,200000048	Iris-versicolor
5,699999809	2,900000095	4,199999809	1,299999952	Iris-versicolor
6,199999809	2,900000095	4,300000191	1,299999952	Iris-versicolor
5,099999905	2,5	3	1,100000024	Iris-versicolor
5,699999809	2,799999952	4,099999905	1,299999952	Iris-versicolor
6,300000191	3,299999952	6	2,5	Iris-virginica
5,800000191	2,700000048	5,099999905	1,899999976	Iris-virginica
7,099999905	3	5,900000095	2,099999905	Iris-virginica
6,300000191	2,900000095	5,599999905	1,799999952	Iris-virginica
6,5	3	5,800000191	2,200000048	Iris-virginica
7,599999905	3	6,599999905	2,099999905	Iris-virginica
4,900000095	2,5	4,5	1,700000048	Iris-virginica
7,300000191	2,900000095	6,300000191	1,799999952	Iris-virginica
6,699999809	2,5	5,800000191	1,799999952	Iris-virginica
7,199999809	3,599999905	6,099999905	2,5	Iris-virginica
6,5	3,200000048	5,099999905	2	Iris-virginica
6,400000095	2,700000048	5,300000191	1,899999976	Iris-virginica
6,800000191	3	5,5	2,099999905	Iris-virginica
5,699999809	2,5	5	2	Iris-virginica
5,800000191	2,799999952	5,099999905	2,400000095	Iris-virginica
6,400000095	3,200000048	5,300000191	2,299999952	Iris-virginica
6,5	3	5,5	1,799999952	Iris-virginica
7,699999809	3,799999952	6,699999809	2,200000048	Iris-virginica
7,699999809	2,599999905	6,900000095	2,299999952	Iris-virginica
6	2,200000048	5	1,5	Iris-virginica
6,900000095	3,200000048	5,699999809	2,299999952	Iris-virginica
5,599999905	2,799999952	4,900000095	2	Iris-virginica
7,699999809	2,799999952	6,699999809	2	Iris-virginica
6,300000191	2,700000048	4,900000095	1,799999952	Iris-virginica
6,699999809	3,299999952	5,699999809	2,099999905	Iris-virginica
7,199999809	3,200000048	6	1,799999952	Iris-virginica
6,199999809	2,799999952	4,800000191	1,799999952	Iris-virginica
6,099999905	3	4,900000095	1,799999952	Iris-virginica
6,400000095	2,799999952	5,599999905	2,099999905	Iris-virginica
7,199999809	3	5,800000191	1,600000024	Iris-virginica
7,400000095	2,799999952	6,099999905	1,899999976	Iris-virginica
7,900000095	3,799999952	6,400000095	2	Iris-virginica
6,400000095	2,799999952	5,599999905	2,200000048	Iris-virginica
6,300000191	2,799999952	5,099999905	1,5	Iris-virginica
6,099999905	2,599999905	5,599999905	1,399999976	Iris-virginica
7,699999809	3	6,099999905	2,299999952	Iris-virginica
6,300000191	3,400000095	5,599999905	2,400000095	Iris-virginica
6,400000095	3,099999905	5,5	1,799999952	Iris-virginica
6	3	4,800000191	1,799999952	Iris-virginica
6,900000095	3,099999905	5,400000095	2,099999905	Iris-virginica
6,699999809	3,099999905	5,599999905	2,400000095	Iris-virginica
6,900000095	3,099999905	5,099999905	2,299999952	Iris-virginica
5,800000191	2,700000048	5,099999905	1,899999976	Iris-virginica
6,800000191	3,200000048	5,900000095	2,299999952	Iris-virginica
6,699999809	3,299999952	5,699999809	2,5	Iris-virginica
6,699999809	3	5,199999809	2,299999952	Iris-virginica
6,300000191	2,5	5	1,899999976	Iris-virginica
6,5	3	5,199999809	2	Iris-virginica
6,199999809	3,400000095	5,400000095	2,299999952	Iris-virginica
5,900000095	3	5,099999905	1,799999952	Iris-virginica
